time,Depth,Y,X,salinity
UTC,m,,,PSU
2009-04-10T00:00:00Z,0,2000,2050,33.470165
2009-04-11T00:00:00Z,0,2000,2050,33.49637
2009-04-12T00:00:00Z,0,2000,2050,33.543434
2009-04-13T00:00:00Z,0,2000,2050,33.54367
2009-04-14T00:00:00Z,0,2000,2050,33.47714
2009-04-15T00:00:00Z,0,2000,2050,33.607914
2009-04-16T00:00:00Z,0,2000,2050,33.68751
2009-04-17T00:00:00Z,0,2000,2050,33.714085
2009-04-18T00:00:00Z,0,2000,2050,33.711872
2009-04-19T00:00:00Z,0,2000,2050,33.702717
2009-04-20T00:00:00Z,0,2000,2050,33.658752
2009-04-21T00:00:00Z,0,2000,2050,33.618977
2009-04-22T00:00:00Z,0,2000,2050,33.602493
2009-04-23T00:00:00Z,0,2000,2050,33.600323
2009-04-24T00:00:00Z,0,2000,2050,33.469643
2009-04-25T00:00:00Z,0,2000,2050,33.44886
2009-04-26T00:00:00Z,0,2000,2050,33.490906
2009-04-27T00:00:00Z,0,2000,2050,33.52572
2009-04-28T00:00:00Z,0,2000,2050,33.566113
2009-04-29T00:00:00Z,0,2000,2050,33.599625
2009-04-30T00:00:00Z,0,2000,2050,33.620014
2009-05-01T00:00:00Z,0,2000,2050,33.62288
2009-05-02T00:00:00Z,0,2000,2050,33.597027
2009-05-03T00:00:00Z,0,2000,2050,33.5439
2009-05-04T00:00:00Z,0,2000,2050,33.50798
2009-05-05T00:00:00Z,0,2000,2050,33.487564
2009-05-06T00:00:00Z,0,2000,2050,33.474648
2009-05-07T00:00:00Z,0,2000,2050,33.456657
2009-05-08T00:00:00Z,0,2000,2050,33.596107
2009-05-09T00:00:00Z,0,2000,2050,33.670727
2009-05-10T00:00:00Z,0,2000,2050,33.68038
2009-05-11T00:00:00Z,0,2000,2050,33.693886
2009-05-12T00:00:00Z,0,2000,2050,33.71417
2009-05-13T00:00:00Z,0,2000,2050,33.75168
2009-05-14T00:00:00Z,0,2000,2050,33.76958
2009-05-15T00:00:00Z,0,2000,2050,33.781063
2009-05-16T00:00:00Z,0,2000,2050,33.78017
2009-05-17T00:00:00Z,0,2000,2050,33.754574
2009-05-18T00:00:00Z,0,2000,2050,33.635303
2009-05-19T00:00:00Z,0,2000,2050,33.588913
2009-05-20T00:00:00Z,0,2000,2050,33.571896
2009-05-21T00:00:00Z,0,2000,2050,33.58912
2009-05-22T00:00:00Z,0,2000,2050,33.545574
